name,seq
subprocesses_1_initialdepth_2_filterdepth_5_maxdepth_10,9
subprocesses_1_initialdepth_2_filterdepth_5_maxdepth_15,9
subprocesses_1_initialdepth_2_filterdepth_8_maxdepth_10,14
subprocesses_1_initialdepth_2_filterdepth_8_maxdepth_15,15
subprocesses_1_initialdepth_3_filterdepth_5_maxdepth_10,9
subprocesses_1_initialdepth_3_filterdepth_5_maxdepth_15,9
subprocesses_1_initialdepth_3_filterdepth_8_maxdepth_10,13
subprocesses_1_initialdepth_3_filterdepth_8_maxdepth_15,16
subprocesses_1_initialdepth_5_filterdepth_25_maxdepth_45,37
subprocesses_1_initialdepth_10_filterdepth_25_maxdepth_45,35
subprocesses_1_initialdepth_10_filterdepth_35_maxdepth_45,45
url,51158
subprocesses_2_initialdepth_2_filterdepth_3_maxdepth_5,2
subprocesses_2_initialdepth_2_filterdepth_5_maxdepth_10,14
subprocesses_2_initialdepth_2_filterdepth_5_maxdepth_15,14
subprocesses_2_initialdepth_2_filterdepth_8_maxdepth_10,20
subprocesses_2_initialdepth_2_filterdepth_8_maxdepth_15,17
subprocesses_2_initialdepth_3_filterdepth_5_maxdepth_10,14
subprocesses_2_initialdepth_3_filterdepth_5_maxdepth_15,14
subprocesses_2_initialdepth_3_filterdepth_8_maxdepth_10,24
subprocesses_2_initialdepth_3_filterdepth_8_maxdepth_15,21
subprocesses_1_initialdepth_5_filterdepth_35_maxdepth_45,39
subprocesses_4_initialdepth_1_filterdepth_1_maxdepth_2,16
subprocesses_4_initialdepth_2_filterdepth_5_maxdepth_10,22
subprocesses_4_initialdepth_2_filterdepth_5_maxdepth_15,22
subprocesses_4_initialdepth_2_filterdepth_8_maxdepth_10,34
subprocesses_4_initialdepth_2_filterdepth_8_maxdepth_15,28
subprocesses_4_initialdepth_3_filterdepth_5_maxdepth_10,25
subprocesses_4_initialdepth_3_filterdepth_5_maxdepth_15,26
subprocesses_4_initialdepth_3_filterdepth_8_maxdepth_10,31
subprocesses_4_initialdepth_3_filterdepth_8_maxdepth_15,30
subprocesses_4_initialdepth_5_filterdepth_25_maxdepth_45,70
subprocesses_4_initialdepth_5_filterdepth_35_maxdepth_45,76
subprocesses_4_initialdepth_10_filterdepth_25_maxdepth_45,94
subprocesses_4_initialdepth_10_filterdepth_35_maxdepth_45,96
