insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 19:18:50,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 19:18:50,1,5,35,45
2,scraper_1,2022-04-14 19:28:08,1308,502,502,486,22496,0,23560,397,376,401,381,2022-04-14 19:28:08,1,5,35,45
3,scraper_1,2022-04-14 19:33:13,1932,1003,1003,987,41731,0,43679,747,710,765,717,2022-04-14 19:33:13,1,5,35,45
4,scraper_1,2022-04-14 19:35:32,2327,1504,1504,1488,54370,0,56917,1001,939,1026,946,2022-04-14 19:35:32,1,5,35,45
5,scraper_1,2022-04-14 19:35:55,2934,2005,2005,1989,58301,0,60660,1088,997,1112,1003,2022-04-14 19:35:55,1,5,35,45
6,scraper_1,2022-04-14 19:39:06,3360,2508,2508,2489,79842,0,81548,1435,1332,1466,1333,2022-04-14 19:39:06,1,5,35,45
7,scraper_1,2022-04-14 19:39:49,3911,3013,3013,2994,86862,0,89400,1588,1436,1630,1466,2022-04-14 19:39:49,1,5,35,45
8,scraper_1,2022-04-14 19:39:59,4763,3525,3525,3503,88356,0,90667,1678,1446,1677,1484,2022-04-14 19:39:59,1,5,35,45
9,scraper_1,2022-04-14 19:40:13,5430,4046,4046,4027,89827,0,91039,1765,1461,1725,1488,2022-04-14 19:40:13,1,5,35,45
10,scraper_1,2022-04-14 19:40:21,5566,4566,4566,4546,90312,0,91112,1784,1462,1741,1502,2022-04-14 19:40:21,1,5,35,45
11,scraper_1,2022-04-14 19:40:30,6086,5070,5070,5048,91757,0,91445,1836,1469,1790,1507,2022-04-14 19:40:30,1,5,35,45
12,scraper_1,2022-04-14 19:40:42,6481,5575,5575,5553,94517,0,91841,1921,1481,1874,1516,2022-04-14 19:40:42,1,5,35,45
13,scraper_1,2022-04-14 19:40:50,6958,6089,6089,6067,95723,0,92462,2036,1495,1972,1538,2022-04-14 19:40:50,1,5,35,45
14,scraper_1,2022-04-14 19:41:26,7502,6593,6593,6571,96158,0,93285,2141,1504,2111,1648,2022-04-14 19:41:26,1,5,35,45
15,scraper_1,2022-04-14 19:41:38,7997,7104,7104,7083,97217,0,94605,2275,1509,2298,1828,2022-04-14 19:41:38,1,5,35,45
16,scraper_1,2022-04-14 19:41:52,8461,7606,7606,7583,98280,0,95739,2363,1523,2409,1853,2022-04-14 19:41:52,1,5,35,45
17,scraper_1,2022-04-14 19:42:11,8911,8107,8107,8084,99754,0,96038,2392,1524,2437,1867,2022-04-14 19:42:11,1,5,35,45
18,scraper_1,2022-04-14 19:43:50,9642,8610,8610,8587,101464,0,98112,2436,1532,2469,1895,2022-04-14 19:43:50,1,5,35,45
19,scraper_1,2022-04-14 19:44:04,9997,9114,9114,9089,108778,0,105385,2455,1533,2479,1904,2022-04-14 19:44:04,1,5,35,45
20,scraper_1,2022-04-14 19:44:47,10744,9618,9618,9594,113073,0,108592,2507,1544,2513,1940,2022-04-14 19:44:47,1,5,35,45
21,scraper_1,2022-04-14 19:45:03,11124,10120,10120,10095,121560,0,116985,2517,1547,2517,1947,2022-04-14 19:45:03,1,5,35,45
22,scraper_1,2022-04-14 19:45:22,11751,10627,10627,10600,124346,0,122380,2567,1552,2530,1970,2022-04-14 19:45:22,1,5,35,45
23,scraper_1,2022-04-14 19:45:33,11946,11128,11128,11102,125053,0,123433,2634,1557,2558,1990,2022-04-14 19:45:33,1,5,35,45
24,scraper_1,2022-04-14 19:45:42,12432,11632,11632,11605,125779,0,125042,2676,1563,2585,2012,2022-04-14 19:45:42,1,5,35,45
25,scraper_1,2022-04-14 19:45:52,12984,12133,12133,12106,126302,0,126470,2728,1566,2598,2032,2022-04-14 19:45:52,1,5,35,45
26,scraper_1,2022-04-14 19:46:03,13573,12638,12638,12611,127192,0,128342,2779,1570,2614,2052,2022-04-14 19:46:03,1,5,35,45
27,scraper_1,2022-04-14 19:46:17,13891,13139,13139,13112,128037,0,129285,2838,1577,2644,2070,2022-04-14 19:46:17,1,5,35,45
28,scraper_1,2022-04-14 19:47:19,14170,13641,13641,13613,145507,0,147256,3156,1857,2966,2357,2022-04-14 19:47:19,1,5,35,45
29,scraper_1,2022-04-14 19:47:56,14509,14143,14143,14115,155240,0,157770,3315,1997,3171,2507,2022-04-14 19:47:56,1,5,35,45
30,scraper_1,2022-04-14 19:49:40,14818,14644,14644,14616,182275,0,183957,3751,2412,3602,2929,2022-04-14 19:49:40,1,5,35,45
31,scraper_1,2022-04-14 19:51:19,15306,15145,15145,15117,211510,0,210462,4188,2834,4040,3354,2022-04-14 19:51:19,1,5,35,45
32,scraper_1,2022-04-14 19:54:47,15980,15656,15656,15628,228393,0,225531,4427,3072,4279,3591,2022-04-14 19:54:47,1,5,35,45
33,scraper_1,2022-04-14 19:58:58,16395,16159,16159,16131,239647,0,236019,4597,3238,4448,3760,2022-04-14 19:58:58,1,5,35,45
34,scraper_1,2022-04-14 20:13:12,16941,16662,16662,16634,254049,0,250261,4832,3473,4683,3995,2022-04-14 20:13:12,1,5,35,45
35,scraper_1,2022-04-14 20:15:37,17402,17167,17167,17139,265740,0,261741,5024,3665,4875,4187,2022-04-14 20:15:37,1,5,35,45
36,scraper_1,2022-04-14 20:18:11,17995,17671,17671,17643,280057,0,275641,5260,3901,5111,4423,2022-04-14 20:18:11,1,5,35,45
37,scraper_1,2022-04-14 20:24:52,18529,18172,18172,18144,292145,0,287027,5506,4147,5357,4669,2022-04-14 20:24:52,1,5,35,45
38,scraper_1,2022-04-14 20:27:48,18844,18677,18677,18649,305868,0,299525,5762,4403,5613,4925,2022-04-14 20:27:48,1,5,35,45
39,scraper_1,2022-04-14 20:29:30,19241,19178,19178,19150,346975,0,329873,6230,4871,6081,5393,2022-04-14 20:29:30,1,5,35,45
