insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth,machine_name
1,scraper_3,2022-04-11 20:50:01,1,1,1,1,0,0,0,0,0,0,0,2022-04-11 20:50:01,4,1,1,2,MACHINE_NAME_HERE
2,scraper_2,2022-04-11 20:50:01,1,1,1,1,0,0,0,1,1,1,1,2022-04-11 20:50:01,4,1,1,2,MACHINE_NAME_HERE
3,scraper_4,2022-04-11 20:50:02,1,1,1,1,0,0,0,1,1,1,1,2022-04-11 20:50:02,4,1,1,2,MACHINE_NAME_HERE
4,scraper_1,2022-04-11 20:50:02,1,1,1,1,0,0,0,1,1,1,1,2022-04-11 20:50:02,4,1,1,2,MACHINE_NAME_HERE
5,scraper_3,2022-04-11 20:51:37,720,528,528,518,12286,66,13653,882,788,932,813,2022-04-11 20:51:37,4,1,1,2,MACHINE_NAME_HERE
6,scraper_1,2022-04-11 20:51:39,824,507,507,491,15426,110,15922,906,801,961,835,2022-04-11 20:51:39,4,1,1,2,MACHINE_NAME_HERE
7,scraper_2,2022-04-11 20:51:40,739,514,514,499,8182,104,9584,916,810,971,844,2022-04-11 20:51:40,4,1,1,2,MACHINE_NAME_HERE
8,scraper_4,2022-04-11 20:51:42,712,504,504,489,5096,83,5904,939,823,995,856,2022-04-11 20:51:42,4,1,1,2,MACHINE_NAME_HERE
9,scraper_2,2022-04-11 20:53:05,1414,1017,1017,1001,17129,248,18118,1661,1490,1733,1534,2022-04-11 20:53:05,4,1,1,2,MACHINE_NAME_HERE
10,scraper_4,2022-04-11 20:53:22,1202,1012,1012,996,13071,309,13964,1780,1608,1853,1651,2022-04-11 20:53:22,4,1,1,2,MACHINE_NAME_HERE
11,scraper_1,2022-04-11 20:53:22,1220,1065,1065,1051,34464,246,35653,1782,1610,1855,1653,2022-04-11 20:53:22,4,1,1,2,MACHINE_NAME_HERE
12,scraper_3,2022-04-11 20:53:27,1368,1033,1033,1017,20592,185,22101,1819,1647,1892,1690,2022-04-11 20:53:27,4,1,1,2,MACHINE_NAME_HERE
13,scraper_2,2022-04-11 20:54:36,1680,1594,1594,1578,24408,619,25038,2305,2105,2384,2152,2022-04-11 20:54:36,4,1,1,2,MACHINE_NAME_HERE
14,scraper_1,2022-04-11 20:54:40,1728,1571,1571,1555,52077,412,51312,2314,2114,2393,2161,2022-04-11 20:54:40,4,1,1,2,MACHINE_NAME_HERE
15,scraper_4,2022-04-11 20:54:46,1574,1516,1516,1500,22220,617,21928,2338,2138,2417,2185,2022-04-11 20:54:46,4,1,1,2,MACHINE_NAME_HERE
16,scraper_3,2022-04-11 20:55:02,1581,1535,1535,1520,25044,447,26770,2385,2185,2464,2232,2022-04-11 20:55:02,4,1,1,2,MACHINE_NAME_HERE
