scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth,
scraper_1,4/14/2022 1:12,1,1,1,1,0,0,0,0,0,0,0,4/14/2022 1:12,1,2,5,10,
scraper_1,4/14/2022 1:15,933,502,502,486,13462,0,13669,369,353,372,356,4/14/2022 1:15,1,2,5,10,
scraper_1,4/14/2022 1:18,1403,1004,1004,984,26247,0,26622,725,681,732,683,4/14/2022 1:18,1,2,5,10,
scraper_1,4/14/2022 1:21,1808,1505,1505,1485,40851,0,41946,1058,987,1067,995,4/14/2022 1:21,1,2,5,10,
scraper_1,4/14/2022 1:25,2284,2007,2007,1987,54868,0,54762,1346,1269,1355,1280,4/14/2022 1:25,1,2,5,10,
scraper_1,4/14/2022 1:27,2760,2508,2508,2485,73228,0,70489,1661,1542,1708,1573,4/14/2022 1:27,1,2,5,10,
scraper_1,4/14/2022 1:29,3149,3009,3009,2986,89469,0,85983,1963,1810,2012,1848,4/14/2022 1:29,1,2,5,10,
scraper_1,4/14/2022 1:32,3700,3513,3513,3490,120975,0,110485,2389,2232,2437,2269,4/14/2022 1:32,1,2,5,10,
scraper_1,4/14/2022 1:34,4085,4022,4022,3999,142546,0,129110,2722,2559,2770,2598,4/14/2022 1:34,1,2,5,10,
scraper_1,4/14/2022 1:36,1,1,1,1,0,0,0,0,0,0,0,4/14/2022 1:36,1,2,5,15,
scraper_1,4/14/2022 1:36,950,502,502,486,12012,0,12303,346,330,351,330,4/14/2022 1:36,1,2,5,15,
scraper_1,4/14/2022 1:37,1356,1003,1003,987,26679,0,27337,757,720,765,721,4/14/2022 1:37,1,2,5,15,
scraper_1,4/14/2022 1:37,1808,1508,1508,1494,39673,0,41312,1093,1020,1116,1036,4/14/2022 1:37,1,2,5,15,
scraper_1,4/14/2022 1:37,2324,2013,2013,1995,51411,0,51737,1312,1191,1374,1238,4/14/2022 1:37,1,2,5,15,
scraper_1,4/14/2022 1:38,2628,2514,2514,2498,76739,0,73904,1720,1572,1782,1623,4/14/2022 1:38,1,2,5,15,
scraper_1,4/14/2022 1:38,3294,3015,3015,2996,92896,0,88746,2030,1863,2089,1917,4/14/2022 1:38,1,2,5,15,
scraper_1,4/14/2022 1:38,3631,3518,3518,3499,109705,0,101140,2284,2112,2342,2168,4/14/2022 1:38,1,2,5,15,
scraper_1,4/14/2022 1:39,4043,4019,4019,4000,139019,0,126333,2701,2525,2762,2581,4/14/2022 1:39,1,2,5,15,
scraper_1,4/14/2022 1:44,1,1,1,1,0,0,0,0,0,0,0,4/14/2022 1:44,1,2,8,10,
scraper_1,4/14/2022 1:44,1118,504,504,488,10328,0,11666,247,204,254,227,4/14/2022 1:44,1,2,8,10,
scraper_1,4/14/2022 1:45,1482,1006,1006,992,13979,0,16316,420,321,434,363,4/14/2022 1:45,1,2,8,10,
scraper_1,4/14/2022 1:46,1839,1508,1508,1492,33544,0,36570,847,727,859,771,4/14/2022 1:46,1,2,8,10,
scraper_1,4/14/2022 1:47,2296,2010,2010,1994,46614,0,51188,1143,1002,1169,1061,4/14/2022 1:47,1,2,8,10,
scraper_1,4/14/2022 1:47,3023,2520,2520,2507,54278,0,58086,1298,1120,1368,1188,4/14/2022 1:47,1,2,8,10,
scraper_1,4/14/2022 1:47,3432,3030,3030,3015,60906,0,63828,1425,1211,1527,1297,4/14/2022 1:47,1,2,8,10,
scraper_1,4/14/2022 1:47,3800,3534,3534,3515,81537,0,82845,1774,1544,1886,1627,4/14/2022 1:47,1,2,8,10,
scraper_1,4/14/2022 1:49,4274,4035,4035,4016,102186,0,101441,2109,1876,2221,1959,4/14/2022 1:49,1,2,8,10,
scraper_1,4/14/2022 1:51,4813,4536,4536,4517,113920,0,112819,2342,2109,2454,2192,4/14/2022 1:51,1,2,8,10,
scraper_1,4/14/2022 1:52,5179,5039,5039,5020,138037,0,133662,2733,2487,2844,2575,4/14/2022 1:52,1,2,8,10,
scraper_1,4/14/2022 1:52,5729,5545,5545,5526,149232,0,143044,2955,2641,3045,2727,4/14/2022 1:52,1,2,8,10,
scraper_1,4/14/2022 1:53,6209,6051,6051,6032,160498,0,153113,3116,2801,3205,2885,4/14/2022 1:53,1,2,8,10,
scraper_1,4/14/2022 1:53,6575,6552,6552,6533,198521,0,183167,3591,3274,3680,3360,4/14/2022 1:53,1,2,8,10,
scraper_1,4/14/2022 1:54,1,1,1,1,0,0,0,0,0,0,0,4/14/2022 1:54,1,2,8,15,
scraper_1,4/14/2022 1:54,1030,505,505,489,14651,0,14774,337,302,339,306,4/14/2022 1:54,1,2,8,15,
scraper_1,4/14/2022 1:55,1477,1009,1009,993,21787,0,23931,511,455,539,456,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:55,2220,1511,1511,1495,30492,0,33247,701,617,740,630,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:55,2532,2020,2020,2005,33430,0,36931,812,687,859,726,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:55,3018,2528,2528,2516,35728,0,39950,902,739,952,810,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:55,3466,3029,3029,3012,37933,0,42284,984,785,1024,866,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:55,3886,3530,3530,3512,50888,0,55295,1238,1023,1283,1110,4/14/2022 1:55,1,2,8,15,
scraper_1,4/14/2022 1:56,4366,4036,4036,4015,67987,0,72509,1547,1323,1591,1417,4/14/2022 1:56,1,2,8,15,
scraper_1,4/14/2022 1:56,4891,4552,4552,4530,79728,0,83564,1791,1567,1835,1661,4/14/2022 1:56,1,2,8,15,
scraper_1,4/14/2022 1:57,5377,5056,5056,5034,98675,0,100558,2112,1875,2155,1978,4/14/2022 1:57,1,2,8,15,
scraper_1,4/14/2022 1:57,5816,5558,5558,5536,117649,0,118205,2449,2192,2503,2290,4/14/2022 1:57,1,2,8,15,
scraper_1,4/14/2022 1:57,6292,6064,6064,6042,121308,0,121651,2534,2242,2652,2365,4/14/2022 1:57,1,2,8,15,
scraper_1,4/14/2022 1:57,6680,6565,6565,6541,145231,0,140675,2881,2553,2998,2682,4/14/2022 1:57,1,2,8,15,
scraper_1,4/14/2022 1:57,7252,7070,7070,7045,163516,0,156935,3191,2811,3283,2936,4/14/2022 1:57,1,2,8,15,
scraper_1,4/14/2022 1:59,1,1,1,1,0,0,0,0,0,0,0,4/14/2022 1:59,1,3,5,10,
scraper_1,4/14/2022 1:59,1005,506,506,490,13624,0,13926,354,329,363,337,4/14/2022 1:59,1,3,5,10,
scraper_1,4/14/2022 1:59,1415,1010,1010,994,22997,0,24215,617,555,635,567,4/14/2022 1:59,1,3,5,10,
scraper_1,4/14/2022 2:00,1903,1513,1513,1496,34723,0,36226,871,782,891,793,4/14/2022 2:00,1,3,5,10,
